Sport,Age,Height,Weight,Sex
Shooting,39.0,177.0,88.0,M
Shooting,39.0,177.0,88.0,M
Shooting,39.0,177.0,88.0,M
Boxing,20.0,,75.0,M
Wrestling,23.0,,,M
Swimming,19.0,,,M
Athletics,24.0,176.0,60.0,M
Cycling,24.0,178.0,67.0,M
Cycling,24.0,178.0,67.0,M
Canoeing,33.0,,,M
Canoeing,24.0,,,M
Wrestling,21.0,192.0,125.0,M
Shooting,31.0,172.0,75.0,M
Wrestling,26.0,175.0,90.0,M
Fencing,24.0,187.0,79.0,M
Fencing,24.0,187.0,79.0,M
Volleyball,24.0,191.0,79.0,F
Canoeing,23.0,188.0,85.0,M
Athletics,24.0,160.0,49.0,F
Sailing,21.0,180.0,78.0,M
Athletics,24.0,,,M
Athletics,24.0,,,M
Athletics,24.0,,,M
Hockey,27.0,155.0,51.0,F
Athletics,21.0,160.0,74.0,M
Athletics,27.0,155.0,51.0,M
Shooting,39.0,182.0,73.0,M
Swimming,18.0,175.0,65.0,M
Shooting,31.0,175.0,90.0,M
Shooting,31.0,175.0,90.0,M
Shooting,41.0,178.0,82.0,M
Athletics,30.0,178.0,64.0,M
Swimming,15.0,173.0,65.0,M
Swimming,24.0,,,M
Athletics,27.0,192.0,86.0,M
Shooting,45.0,178.0,95.0,M
Shooting,45.0,178.0,95.0,M
Judo,21.0,,65.0,M
Equestrianism,40.0,162.0,70.0,M
Equestrianism,40.0,162.0,70.0,M
Athletics,21.0,175.0,65.0,M
Swimming,16.0,170.0,72.0,F
Athletics,23.0,191.0,96.0,M
Athletics,18.0,175.0,65.0,M
Athletics,20.0,179.0,55.0,M
Athletics,19.0,162.0,60.0,F
Shooting,20.0,166.0,69.0,F
Shooting,20.0,166.0,69.0,F
Athletics,29.0,,,M
Football,24.0,173.0,68.0,M
Athletics,24.0,173.0,67.0,M
Table Tennis,25.0,179.0,73.0,M
Shooting,27.0,170.0,70.0,M
Athletics,37.0,178.0,60.0,M
Football,23.0,183.0,74.0,M
Taekwondo,23.0,168.0,58.0,M
Shooting,27.0,166.0,68.0,M
Shooting,35.0,176.0,88.0,M
Athletics,17.0,155.0,43.0,F
Archery,17.0,160.0,50.0,F
Swimming,18.0,158.0,40.0,F
Athletics,36.0,163.0,60.0,M
Athletics,36.0,163.0,60.0,M
Weightlifting,31.0,173.0,94.0,M
Athletics,38.0,156.0,49.0,F
Shooting,48.0,183.0,83.0,M
Shooting,19.0,176.0,70.0,M
Wrestling,18.0,153.0,55.0,M
Rowing,35.0,174.0,73.0,M
Equestrianism,27.0,178.0,69.0,M
Equestrianism,27.0,178.0,69.0,M
Athletics,35.0,182.0,76.0,M
Athletics,19.0,172.0,61.0,M
Shooting,40.0,,,M
Athletics,28.0,195.0,102.5,M
Wrestling,32.0,164.0,60.0,M
Fencing,21.0,181.0,72.0,M
Football,21.0,189.0,84.0,M
Sailing,26.0,164.0,55.0,F
Athletics,16.0,182.0,71.0,F
Athletics,28.0,179.0,58.0,F
Table Tennis,20.0,170.0,67.0,M
Athletics,22.0,178.0,57.0,M
Shooting,,,,M
Athletics,,,,M
Athletics,23.0,166.0,55.0,F
Football,23.0,170.0,66.0,M
Cycling,,,,M
Athletics,22.0,190.0,77.0,M
Cycling,31.0,172.0,67.0,M
Cycling,31.0,172.0,67.0,M
Weightlifting,24.0,192.0,156.0,M
Basketball,26.0,172.0,62.0,F
Football,,,,M
Equestrianism,41.0,165.0,59.0,F
Athletics,23.0,,,M
Athletics,23.0,,,M
Handball,29.0,179.0,90.0,F
Athletics,26.0,177.0,67.0,M
Athletics,26.0,177.0,67.0,M
Football,23.0,176.0,75.0,M
Basketball,21.0,,,M
Fencing,23.0,,,M
Fencing,23.0,,,M
Rowing,23.0,183.0,76.0,F
Athletics,20.0,163.0,56.0,F
Cycling,29.0,,,M
Athletics,27.0,185.0,82.0,M
Athletics,39.0,173.0,62.0,F
Sailing,23.0,172.0,68.0,F
Wrestling,28.0,174.0,74.0,M
Diving,25.0,,,M
Basketball,,,,M
Hockey,27.0,184.0,75.0,M
Hockey,31.0,171.0,71.0,M
Taekwondo,24.0,154.0,49.0,F
Sailing,26.0,171.0,58.0,F
Athletics,26.0,180.0,81.0,M
Athletics,40.0,200.0,130.0,M
Boxing,27.0,164.0,51.0,M
Rowing,22.0,189.0,93.0,M
Swimming,19.0,185.0,75.0,M
Fencing,20.0,186.0,87.0,M
Wrestling,20.0,190.0,98.0,M
Cycling,21.0,164.0,62.0,F
Athletics,24.0,185.0,76.0,M
Canoeing,34.0,186.0,93.0,M
Canoeing,34.0,186.0,93.0,M
Canoeing,20.0,188.0,89.0,M
Water Polo,26.0,193.0,96.0,M
Volleyball,29.0,200.0,96.0,M
Football,21.0,173.0,66.0,M
Weightlifting,34.0,167.0,67.0,M
Swimming,25.0,174.0,69.5,M
Fencing,44.0,,,M
Football,21.0,177.0,60.0,M
Athletics,30.0,171.0,60.0,F
Lacrosse,26.0,,,M
Athletics,18.0,178.0,64.0,M
Athletics,26.0,178.0,65.0,F
Handball,30.0,177.0,68.0,F
Football,22.0,179.0,71.0,M
Wrestling,22.0,191.0,105.0,M
Basketball,,,,M
Swimming,20.0,185.0,80.0,M
Basketball,23.0,183.0,77.0,M
Equestrianism,40.0,162.0,50.0,F
Equestrianism,40.0,162.0,50.0,F
Equestrianism,37.0,163.0,56.0,F
Equestrianism,37.0,163.0,56.0,F
Football,22.0,171.0,72.0,M
Gymnastics,,,,M
Gymnastics,,,,M
Gymnastics,,,,M
Gymnastics,,,,M
Gymnastics,,,,M
Gymnastics,,,,M
Gymnastics,,,,M
Gymnastics,,,,M
Athletics,23.0,170.0,61.0,M
Athletics,28.0,185.0,84.0,M
Fencing,37.0,176.0,68.0,M
Wrestling,27.0,176.0,75.0,F
Athletics,28.0,,,M
Cycling,20.0,,,M
Cycling,20.0,,,M
Athletics,17.0,162.0,53.0,F
Table Tennis,32.0,179.0,78.0,M
Fencing,30.0,,,M
Fencing,30.0,,,M
Handball,26.0,200.0,110.0,M
Fencing,25.0,185.0,72.0,M
Football,30.0,180.0,71.0,F
Shooting,36.0,175.0,80.0,M
Beach Volleyball,26.0,203.0,106.0,M
Swimming,27.0,179.0,68.0,F
